"Age group","Sex","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Total","Total","11.6","9.9","7.7","8.2","7.9","7.9","7.5","10","8.8"
"Total","Male","11.6","10.5","8.1","8.4","7.6","8.5","8.2","11.6","9.6"
"Total","Female","11.6","9.2","7.4","8.1","8.3","7.3","6.7","8.2","7.8"
"15-19","Total","22.8","18","14","8","13.6","17.4","18.8","24.6","24.8"
"15-19","Male","23.1","17.5","14.6","6.9","11.1","16.2","17.4","22.2","18.8"
"15-19","Female","22.4","18.7","13","9.3","17.6","19.6","21.5","29.1","36.7"
"20-24","Total","21.7","20","16.1","17","17.3","17.4","17.7","25.2","22.3"
"20-24","Male","21","20.7","16","16.1","15.6","17","16.7","24.1","20"
"20-24","Female","22.6","19","16.3","18.3","19.4","18","19","26.8","25.6"
"25-29","Total","12.2","12","9.5","9.6","9.3","9.7","8.6","13.1","13.1"
"25-29","Male","11.1","12.7","9.8","10","8.2","10.5","8","14.1","12.5"
"25-29","Female","13.6","11.1","9.2","9.1","10.5","8.8","9.4","11.9","13.9"
"30-34","Total","10.2","8.9","7.1","6.8","7","7.3","6.3","8.9","8.5"
"30-34","Male","8.2","8.9","6.8","6.7","6.5","6.7","7","10.3","10"
"30-34","Female","12.3","9","7.3","6.8","7.7","8","5.6","7.2","6.9"
"35-39","Total","8.7","8.6","5.5","7.8","6.7","6.1","6.8","7.9","6.6"
"35-39","Male","9.4","9.4","5.5","7.4","6.1","6.7","7.5","9.4","7.4"
"35-39","Female","7.9","7.8","5.6","8.2","7.3","5.5","6","6.3","5.7"
"40-44","Total","11.1","7.1","6.4","6.2","5.7","6.1","5.6","7.6","6.1"
"40-44","Male","11.3","7.4","6.7","6.3","5.7","6.6","6.1","9.9","7.1"
"40-44","Female","10.9","6.7","6","6.2","5.8","5.5","5","5.2","5.1"
"45-49","Total","8.1","7.8","5.7","8","6.4","5.3","6.4","7.9","5.9"
"45-49","Male","7.6","7.7","5.7","8.3","6.6","5.8","8.5","9.5","7.5"
"45-49","Female","8.6","7.9","5.8","7.7","6.2","4.9","4.5","6.5","4.4"
"50-54","Total","6.8","5.8","5.5","6.1","6.2","7.1","4.7","7.2","6.3"
"50-54","Male","8.7","7.1","6.3","7.3","7","8.6","6.3","9.9","8.2"
"50-54","Female","4.6","4.3","4.4","5","5.4","5.6","2.9","4.3","4.3"
"55-59","Total","7.6","4.5","4.4","3.4","3.6","5","3.7","4.9","4.5"
"55-59","Male","10.3","6","6.2","5","4.9","6.6","5.2","7.4","6.3"
"55-59","Female","3.1","2.2","1.6","1.2","2","2.5","1.3","1.1","1.9"
"60-64","Total","2.4","1.3","1.1","1.3","0.7","0","0","0",""
"60-64","Male","1.7","1.4","1.3","2.1","1.2","0","0","0",""
"60-64","Female","3","1.1","0.9","0","0","0","0","0",""
"65-69","Total","3.4","0.7","1","2.9","0","0","0","0",""
"65-69","Male","0","1.1","1.8","3.9","0","0","0","0",""
"65-69","Female","8","0","0","1.6","0","0","0","0",""
"70+","Total","3.2","0","0.7","0.5","0","0","0","0",""
"70+","Male","0","0","0","0","0","0","0","0",""
"70+","Female","6.1","0","2","1","0","0","0","0",""
